codigo_ibge,Nome_Município,Territórios de Desenvolvimento,Aglomerado,Gerência Regional de Ensino GRE,População em 2022 IBGE,Faixa populacional
2200053,Acauã,Chapada Vale do Rio Itaim,14,17ª,6420,5.001 a 10.000 de habitantes
2200103,Agricolândia,Entre Rios,9,6ª,4940,Menos de 5.000 habitantes
2200202,Água Branca,Entre Rios,9,6ª,17573,10.001 a 20.000 de habitantes
2200251,Alagoinha do Piauí,Vale do Rio Guaribas,15,16ª,6819,5.001 a 10.000 de habitantes
2200277,Alegrete do Piauí,Vale do Rio Guaribas,15,16ª,4634,Menos de 5.000 habitantes
2200301,Alto Longá,Entre Rios,7,18ª,13479,10.001 a 20.000 de habitantes
2200400,Altos,Entre Rios,7,18ª,47453,20.001 a 50.000 de habitantes
2200459,Alvorada do Gurguéia,Chapada das Mangabeiras,26,14ª,5322,5.001 a 10.000 de habitantes
2200509,Amarante,Entre Rios,9,6ª,17234,10.001 a 20.000 de habitantes
2200608,Angical do Piauí,Entre Rios,9,6ª,6827,5.001 a 10.000 de habitantes
2200707,Anísio de Abreu,Serra da Capivara,19,13ª,9407,5.001 a 10.000 de habitantes
2200806,Antônio Almeida,Tabuleiros do Alto Parnaíba,25,11ª,3152,Menos de 5.000 habitantes
2200905,Aroazes,Vale do Sambito,10,7ª,5369,5.001 a 10.000 de habitantes
2200954,Aroeiras do Itaim,Vale do Rio Guaribas,12,9ª,2690,Menos de 5.000 habitantes
2201002,Arraial,Vale dos Rios Piauí e Itaueiras,21,6ª,4520,Menos de 5.000 habitantes
2201051,Assunção do Piauí,Carnaubais,6,5ª,7452,5.001 a 10.000 de habitantes
2201101,Avelino Lopes,Chapada das Mangabeiras,27,15ª,10866,10.001 a 20.000 de habitantes
2201150,Baixa Grande do Ribeiro,Tabuleiros do Alto Parnaíba,25,11ª,13272,10.001 a 20.000 de habitantes
2201176,Barra D'Alcântara,Vale do Sambito,11,7ª,3995,Menos de 5.000 habitantes
2201200,Barras,Cocais,3,2ª,47938,20.001 a 50.000 de habitantes
2201309,Barreiras do Piauí,Chapada das Mangabeiras,28,15ª,3264,Menos de 5.000 habitantes
2201408,Barro Duro,Entre Rios,9,18ª,6640,5.001 a 10.000 de habitantes
2201507,Batalha,Cocais,3,2ª,26300,20.001 a 50.000 de habitantes
2201556,Bela Vista do Piauí,Vale do Canindé,17,12ª,4091,Menos de 5.000 habitantes
2201572,Belém do Piauí,Chapada Vale do Rio Itaim,13,16ª,3423,Menos de 5.000 habitantes
2201606,Beneditinos,Entre Rios,8,18ª,9929,5.001 a 10.000 de habitantes
2201705,Bertolínia,Tabuleiros do Alto Parnaíba,24,11ª,5562,5.001 a 10.000 de habitantes
2201739,Betânia do Piauí,Chapada Vale do Rio Itaim,14,17ª,6220,5.001 a 10.000 de habitantes
2201770,Boa Hora,Carnaubais,5,2ª,6902,5.001 a 10.000 de habitantes
2201804,Bocaina,Vale do Rio Guaribas,12,9ª,4078,Menos de 5.000 habitantes
2201903,Bom Jesus,Chapada das Mangabeiras,26,14ª,28796,20.001 a 50.000 de habitantes
2201919,Bom Princípio do Piauí,Planície Litorânea,2,1ª,5636,5.001 a 10.000 de habitantes
2201929,Bonfim do Piauí,Serra da Capivara,19,13ª,5913,5.001 a 10.000 de habitantes
2201945,Boqueirão do Piauí,Carnaubais,5,5ª,6545,5.001 a 10.000 de habitantes
2201960,Brasileira,Cocais,4,3ª,8436,5.001 a 10.000 de habitantes
2201988,Brejo do Piauí,Vale dos Rios Piauí e Itaueiras,23,12ª,3904,Menos de 5.000 habitantes
2202000,Buriti dos Lopes,Planície Litorânea,2,1ª,19654,10.001 a 20.000 de habitantes
2202026,Buriti dos Montes,Carnaubais,6,5ª,7434,5.001 a 10.000 de habitantes
2202059,Cabeceiras do Piauí,Carnaubais,5,2ª,10212,10.001 a 20.000 de habitantes
2202075,Cajazeiras do Piauí,Vale do Canindé,16,8ª,3108,Menos de 5.000 habitantes
2202083,Cajueiro da Praia,Planície Litorânea,1,1ª,7957,5.001 a 10.000 de habitantes
2202091,Caldeirão Grande do Piauí,Chapada Vale do Rio Itaim,13,16ª,5503,5.001 a 10.000 de habitantes
2202109,Campinas do Piauí,Vale do Canindé,17,8ª,4938,Menos de 5.000 habitantes
2202117,Campo Alegre do Fidalgo,Serra da Capivara,18,12ª,4616,Menos de 5.000 habitantes
2202133,Campo Grande do Piauí,Vale do Rio Guaribas,15,9ª,6020,5.001 a 10.000 de habitantes
2202174,Campo Largo do Piauí,Cocais,3,2ª,7419,5.001 a 10.000 de habitantes
2202208,Campo Maior,Carnaubais,5,5ª,45793,20.001 a 50.000 de habitantes
2202251,Canavieira,Tabuleiros do Alto Parnaíba,24,10ª,3414,Menos de 5.000 habitantes
2202307,Canto do Buriti,Vale dos Rios Piauí e Itaueiras,23,12ª,19365,10.001 a 20.000 de habitantes
2202406,Capitão de Campos,Carnaubais,5,3ª,11100,10.001 a 20.000 de habitantes
2202455,Capitão Gervásio Oliveira,Serra da Capivara,18,12ª,3974,Menos de 5.000 habitantes
2202505,Caracol,Serra da Capivara,19,13ª,10318,10.001 a 20.000 de habitantes
2202539,Caraúbas do Piauí,Planície Litorânea,2,1ª,5630,5.001 a 10.000 de habitantes
2202554,Caridade do Piauí,Chapada Vale do Rio Itaim,14,17ª,5033,5.001 a 10.000 de habitantes
2202604,Castelo do Piauí,Carnaubais,6,5ª,19288,10.001 a 20.000 de habitantes
2202653,Caxingó,Planície Litorânea,2,14ª,5496,5.001 a 10.000 de habitantes
2202703,Cocal,Planície Litorânea,2,1ª,28212,20.001 a 50.000 de habitantes
2202711,Cocal de Telha,Carnaubais,5,1ª,4911,Menos de 5.000 habitantes
2202729,Cocal dos Alves,Planície Litorânea,2,1ª,6386,5.001 a 10.000 de habitantes
2202737,Coivaras,Entre Rios,7,18ª,4117,Menos de 5.000 habitantes
2202752,Colônia do Gurguéia,Chapada das Mangabeiras,26,10ª,6150,5.001 a 10.000 de habitantes
2202778,Colônia do Piauí,Vale do Canindé,16,8ª,6994,5.001 a 10.000 de habitantes
2202802,Conceição do Canindé,Vale do Canindé,17,17ª,4932,Menos de 5.000 habitantes
2202851,Coronel José Dias,Serra da Capivara,20,13ª,4250,Menos de 5.000 habitantes
2202901,Corrente,Chapada das Mangabeiras,28,15ª,27278,20.001 a 50.000 de habitantes
2203008,Cristalândia do Piauí,Chapada das Mangabeiras,28,15ª,7283,5.001 a 10.000 de habitantes
2203107,Cristino Castro,Chapada das Mangabeiras,26,14ª,10503,10.001 a 20.000 de habitantes
2203206,Curimatá,Chapada das Mangabeiras,27,15ª,11270,10.001 a 20.000 de habitantes
2203230,Currais,Chapada das Mangabeiras,26,14ª,4844,Menos de 5.000 habitantes
2203271,Curral Novo do Piauí,Chapada Vale do Rio Itaim,14,17ª,5073,5.001 a 10.000 de habitantes
2203255,Curralinhos,Entre Rios,8,18ª,4413,Menos de 5.000 habitantes
2203305,Demerval Lobão,Entre Rios,8,18ª,16352,10.001 a 20.000 de habitantes
2203354,Dirceu Arcoverde,Serra da Capivara,20,13ª,7054,5.001 a 10.000 de habitantes
2203404,Dom Expedito Lopes,Vale do Rio Guaribas,12,9ª,6320,5.001 a 10.000 de habitantes
2203453,Dom Inocêncio,Serra da Capivara,20,13ª,9159,5.001 a 10.000 de habitantes
2203420,Domingos Mourão,Cocais,4,3ª,4075,Menos de 5.000 habitantes
2203503,Elesbão Veloso,Vale do Sambito,11,7ª,13607,10.001 a 20.000 de habitantes
2203602,Eliseu Martins,Chapada das Mangabeiras,26,10ª,4377,Menos de 5.000 habitantes
2203701,Esperantina,Cocais,3,2ª,40970,20.001 a 50.000 de habitantes
2203750,Fartura do Piauí,Serra da Capivara,20,13ª,5284,5.001 a 10.000 de habitantes
2203800,Flores do Piauí,Vale dos Rios Piauí e Itaueiras,23,10ª,4414,Menos de 5.000 habitantes
2203859,Floresta do Piauí,Vale do Canindé,17,8ª,2333,Menos de 5.000 habitantes
2203909,Floriano,Vale dos Rios Piauí e Itaueiras,21,10ª,62036,Acima de 50.000 habitantes
2204006,Francinópolis,Vale do Sambito,11,7ª,4505,Menos de 5.000 habitantes
2204105,Francisco Ayres,Vale dos Rios Piauí e Itaueiras,21,6ª,4412,Menos de 5.000 habitantes
2204154,Francisco Macedo,Chapada Vale do Rio Itaim,13,16ª,2929,Menos de 5.000 habitantes
