table_name|rows
AplicacaoDespesasFinsLimiteMinimoConstitucionalEstadual21|0
ApuracaoDespesasLimiteMinimoConstitucionalEstadual23|0
ApuracaoLimiteMinimoConstitucionalEstadual21|0
ApuracaoLimiteMinimoConstitucionalEstadual23|0
CompensacaoRestosAPagarEstado06|0
ControleDisponibilidadeFinanceiraConciliacaoBancariaEstadual21|0
ControleDisponibilidadeFinanceiraEConciliacaoBancariaEstadual23|0
ControleRecursosNoExercicioSubsequenteEstado1516|0
ControleRecursosNoExercicioSubsequenteEstadual1718|0
ControleRecursosNoExercicioSubsequenteEstadual1920|0
ControleRestosAPagarVinculadosEducacaoEstado06|0
ControleUtilizacaoRecursosEstado0912|0
ControleUtilizacaoRecursosEstado1314|0
DeducoesAdicoesParaFinsLimiteConstitucionalEstado0708|0
DeducoesDaDespesaEstado06|0
DeducoesFinsLimiteFundebEstado1314|0
DeducoesFinsLimiteFundebEstado1516|0
DeducoesFinsLimiteFundebEstadual1718|0
DeducoesFinsLimiteFundebEstadual1920|0
DeducoesFundebMagisterioEstado0912|0
DeducoesParaFinsDeLimitesConstitucionalEstado0912|0
DeducoesParaFinsDeLimitesConstitucionalEstado1314|0
DeducoesParaFinsDeLimitesConstitucionalEstado1516|0
DeducoesParaFinsDeLimitesConstitucionalEstadual1718|0
DeducoesParaFinsDeLimitesConstitucionalEstadual1920|0
DespesaEstado06|0
DespesaEstado0708|0
DespesaEstado0912|0
DespesaEstado1314|0
DespesaEstado1516|0
DespesaEstadual1718|0
DespesaEstadual1920|0
DespesaEstadual21|0
DespesaEstadual23|0
DespesasCusteadasFundebExercicioEstadual21|0
DespesasCusteadasFundebExercicioEstadual23|0
EmendaConstitucionalExclusivoSiopeEstadual23|0
FluxoFinanceiroDeRecursosEstado0912|0
FluxoFinanceiroDeRecursosEstado1314|0
FluxoFinanceiroDeRecursosFundebEstado1516|0
FluxoFinanceiroRecursosEstadual1718|0
FluxoFinanceiroRecursosEstadual1920|0
FluxoFinanceiroRecursosFundebEstado0708|0
Indicador21Art25AplicacaoSuperavitEstadual|0
Indicador21Art25MaximoDeSuperavitEstadual|0
Indicador23Art25AplicacaoSuperavitEstadual|0
Indicador23Art25Maximo10PorCentoDeSuperavitEstadual|0
Indicadores21Art212Estadual|0
Indicadores23Art212Estadual|0
IndicadoresFundebEstado1314|0
IndicadoresFundebEstado1516|0
IndicadoresFundebEstadual1718|0
IndicadoresFundebEstadual1920|0
InformacoesControleFinanceiroEstado0708|0
Minimo60PorCentoFundebEstado0708|0
PerdaGanhoTransferenciasFundebEstado06|0
ReceitaEstado06|0
ReceitaEstado0708|0
ReceitaEstado0912|0
ReceitaEstado1314|0
ReceitaEstado1516|0
ReceitaEstadual1718|0
ReceitaEstadual1920|0
ReceitaEstadual21|0
ReceitaEstadual23|0
RecursosRecebidosNaoUtilizadosEstadual21|0
RecursosRecebidosNaoUtilizadosEstadual23|0
RelatorioEstadual06|0
RelatorioEstadual0708|0
RelatorioEstadual0912|0
RelatorioEstadual1314|0
RelatorioEstadual1516|0
RelatorioEstadual1718|0
RelatorioEstadual1920|0
RelatorioEstadual21|0
RelatorioEstadual23|0
RestosAPagarInscritosDisponibilidadesFinanceiraEstado0912|0
RestosAPagarInscritosDisponibilidadesFinanceiraEstado1314|0
RestosAPagarInscritosDisponibilidadesFinanceiraEstado1516|0
RestosAPagarInscritosDisponibilidadesFinanceiraEstadual1718|0
RestosAPagarInscritosDisponibilidadesFinanceiraEstadual1920|0
RestosAPagarParaCumprimentoDoLimiteEstadual23|0
SaldoFinanceiroFundefEstado06|0
TabelaCumprimentoLimitesConstitucionaisEstado06|0
